epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,4436.13,0.56569,0.88686,0.377,1.02614,0.9527,0.97436,0.98586,0.76195,0.96248,0.94231,0.97626,0.77175,0.81637,1.27898,0.39787,1.17453,0.0011684,0.0011684,0.0011684
65,4504.89,0.56531,0.8795,0.38251,1.01404,0.97304,0.97436,0.98636,0.7892,0.96664,0.96795,0.97537,0.76923,0.76752,1.30264,0.4199,1.13634,0.0011552,0.0011552,0.0011552
66,4574.97,0.55214,0.88861,0.37703,1.01679,0.97904,0.95513,0.97292,0.77329,0.9604,0.93278,0.95327,0.76907,0.75121,1.25254,0.47152,1.13706,0.001142,0.001142,0.001142
67,4643.62,0.54932,0.88643,0.36889,1.01404,0.96067,0.93941,0.97343,0.76457,0.96487,0.92308,0.96477,0.75858,0.7889,1.19967,0.45977,1.19198,0.0011288,0.0011288,0.0011288
68,4714.67,0.56731,0.90881,0.38421,1.02056,0.96609,0.97436,0.98428,0.78691,0.95973,0.96795,0.97224,0.7748,0.72824,1.27233,0.38857,1.10897,0.0011156,0.0011156,0.0011156
69,4785.07,0.53564,0.87544,0.36864,1.00641,0.97431,0.97243,0.98233,0.78234,0.96146,0.95961,0.96061,0.77367,0.77309,1.24376,0.38779,1.14,0.0011024,0.0011024,0.0011024
70,4852.67,0.54188,0.88338,0.37006,1.00356,0.95654,0.98077,0.98645,0.79144,0.93133,0.95634,0.96269,0.76809,0.77066,1.4073,0.36875,1.19211,0.0010892,0.0010892,0.0010892
71,4919.35,0.53859,0.857,0.35453,1.00817,0.97442,0.95513,0.97837,0.7764,0.9548,0.9359,0.95731,0.76702,0.8194,1.289,0.41373,1.22621,0.001076,0.001076,0.001076
72,4985.81,0.53762,0.85978,0.36291,1.01164,0.97734,0.94872,0.97574,0.79683,0.96726,0.94693,0.96634,0.78245,0.70925,1.27847,0.47721,1.13337,0.0010628,0.0010628,0.0010628
73,5053.77,0.52427,0.84768,0.35501,0.99945,0.96176,0.96737,0.97961,0.8199,0.96128,0.96795,0.9793,0.79528,0.68272,1.18108,0.40009,1.0418,0.0010496,0.0010496,0.0010496
74,5122.19,0.5194,0.84143,0.34594,1.00368,0.96828,0.95513,0.97838,0.80813,0.96178,0.94872,0.97678,0.79039,0.71594,1.15197,0.38093,1.06541,0.0010364,0.0010364,0.0010364
75,5190.16,0.52358,0.84282,0.35035,1.00007,0.96221,0.92949,0.95207,0.78269,0.97549,0.94231,0.97645,0.78617,0.73904,1.15304,0.53169,1.13061,0.0010232,0.0010232,0.0010232
76,5258.83,0.5251,0.82531,0.3575,1.00273,0.95548,0.96295,0.97723,0.80787,0.95548,0.96295,0.97723,0.78745,0.7111,1.13601,0.39283,1.0527,0.00101,0.00101,0.00101
77,5327.86,0.5059,0.81274,0.34446,0.98534,0.96781,0.96154,0.97795,0.7912,0.96136,0.95513,0.9757,0.78646,0.72036,1.20917,0.42029,1.11692,0.0009968,0.0009968,0.0009968
78,5401.14,0.52592,0.83152,0.34939,1.00176,0.96966,0.96795,0.98033,0.7842,0.95682,0.95513,0.97241,0.78077,0.766,1.23677,0.41117,1.17912,0.0009836,0.0009836,0.0009836
79,5468.88,0.51904,0.84364,0.35565,0.99427,0.96378,0.97436,0.97645,0.7819,0.95539,0.96795,0.96898,0.78407,0.7165,1.21479,0.40776,1.14185,0.0009704,0.0009704,0.0009704
80,5537.27,0.50542,0.80315,0.33938,0.98669,0.97229,0.97436,0.99193,0.79474,0.9594,0.96154,0.97779,0.77759,0.74297,1.22338,0.40094,1.13926,0.0009572,0.0009572,0.0009572
